inventory_id,branch_id,part_name,unit_cost,quantity_on_hand,reorder_level,last_restock_date
55,4,Alternator,161.1,74,20,2026-07-26
56,4,Radiator Hose,158.02,103,20,2026-06-18
57,4,Fuel Pump,121.37,14,25,2026-06-21
58,4,Headlight Bulb,172.8,9,15,2026-07-13
59,4,Cabin Air Filter,131.18,3,25,2026-08-15
60,4,Shock Absorber,68.77,76,20,2026-07-01
61,5,Oil Filter,163.63,125,15,2026-08-11
62,5,Brake Pad Set,132.9,135,15,2026-08-09
63,5,Car Battery,10.7,24,15,2026-07-17
64,5,Spark Plug,199.15,143,15,2026-09-01
65,5,Air Filter,123.68,113,10,2026-07-17
66,5,Wiper Blade,192.15,131,15,2026-08-25
67,5,Coolant (1 Gal),195.14,109,10,2026-07-25
68,5,Tire,102.33,101,15,2026-06-20
69,5,Serpentine Belt,115.62,25,15,2026-06-19
70,5,Alternator,96.14,146,10,2026-08-02
71,5,Radiator Hose,103.28,115,25,2026-08-30
72,5,Fuel Pump,197.77,149,20,2026-07-08
73,5,Headlight Bulb,175.09,72,15,2026-07-31
74,5,Cabin Air Filter,34.82,19,20,2026-07-15
75,5,Shock Absorber,137.39,23,10,2026-08-02
76,6,Oil Filter,219.13,53,10,2026-08-23
77,6,Brake Pad Set,134.26,77,25,2026-06-10
78,6,Car Battery,174.6,26,15,2026-06-10
79,6,Spark Plug,171.04,115,20,2026-06-23
80,6,Air Filter,82.27,66,20,2026-06-27
81,6,Wiper Blade,86.83,0,20,2026-08-28
82,6,Coolant (1 Gal),161.5,30,15,2026-08-18
83,6,Tire,114.0,139,15,2026-08-30
84,6,Serpentine Belt,128.96,29,20,2026-06-21
85,6,Alternator,159.14,11,20,2026-08-03
86,6,Radiator Hose,172.85,115,20,2026-08-05
87,6,Fuel Pump,65.56,117,10,2026-08-22
88,6,Headlight Bulb,39.12,36,20,2026-08-23
89,6,Cabin Air Filter,69.86,48,10,2026-08-04
90,6,Shock Absorber,115.6,76,15,2026-06-14
91,7,Oil Filter,80.53,110,15,2026-06-10
92,7,Brake Pad Set,128.49,117,15,2026-07-14
93,7,Car Battery,19.33,104,25,2026-07-02
94,7,Spark Plug,116.07,137,25,2026-08-14
95,7,Air Filter,86.01,60,10,2026-08-27
96,7,Wiper Blade,121.35,81,25,2026-08-31
97,7,Coolant (1 Gal),97.58,16,10,2026-09-03
98,7,Tire,68.26,84,10,2026-07-01
99,7,Serpentine Belt,199.67,30,15,2026-08-16
100,7,Alternator,47.17,49,15,2026-08-24
101,7,Radiator Hose,152.45,38,15,2026-08-21
102,7,Fuel Pump,204.02,24,25,2026-06-28
103,7,Headlight Bulb,122.2,19,25,2026-09-04
104,7,Cabin Air Filter,193.8,65,10,2026-09-01
105,7,Shock Absorber,34.47,124,25,2026-08-04
106,8,Oil Filter,112.68,143,25,2026-06-25
107,8,Brake Pad Set,104.89,54,15,2026-06-15
108,8,Car Battery,9.72,94,25,2026-08-06
109,8,Spark Plug,101.97,64,10,2026-08-16
110,8,Air Filter,86.23,11,15,2026-07-08
111,8,Wiper Blade,150.0,78,25,2026-06-11
112,8,Coolant (1 Gal),206.93,22,15,2026-08-28
113,8,Tire,26.19,116,25,2026-06-18
114,8,Serpentine Belt,77.42,0,20,2026-08-05
115,8,Alternator,102.14,84,25,2026-06-25
116,8,Radiator Hose,104.5,91,10,2026-08-20
117,8,Fuel Pump,172.26,123,20,2026-06-08
118,8,Headlight Bulb,102.0,100,25,2026-07-27
119,8,Cabin Air Filter,13.76,20,15,2026-07-15
120,8,Shock Absorber,158.54,95,15,2026-08-28
121,9,Oil Filter,195.58,84,10,2026-07-07
122,9,Brake Pad Set,116.95,141,10,2026-06-13
123,9,Car Battery,131.2,13,10,2026-06-22
124,9,Spark Plug,42.54,36,25,2026-08-28
125,9,Air Filter,54.78,38,15,2026-07-25
126,9,Wiper Blade,57.86,100,15,2026-08-02
127,9,Coolant (1 Gal),99.32,63,15,2026-06-25
128,9,Tire,204.77,43,10,2026-07-12
129,9,Serpentine Belt,118.62,89,10,2026-06-27
130,9,Alternator,48.72,38,20,2026-06-30
131,9,Radiator Hose,64.41,62,20,2026-07-23
132,9,Fuel Pump,89.41,70,20,2026-06-15
133,9,Headlight Bulb,140.13,40,15,2026-07-31
134,9,Cabin Air Filter,101.29,59,10,2026-07-05
135,9,Shock Absorber,91.2,86,10,2026-07-11
136,10,Oil Filter,127.72,142,10,2026-08-14
137,10,Brake Pad Set,59.27,119,15,2026-07-09
138,10,Car Battery,24.73,95,15,2026-07-28
139,10,Spark Plug,13.18,111,20,2026-06-10
140,10,Air Filter,61.27,61,20,2026-06-10
141,10,Wiper Blade,27.42,115,20,2026-06-24
142,10,Coolant (1 Gal),79.3,56,25,2026-08-13
143,10,Tire,171.86,128,15,2026-08-25
144,10,Serpentine Belt,159.85,38,15,2026-08-04
145,10,Alternator,137.52,18,15,2026-09-03
146,10,Radiator Hose,188.73,149,20,2026-06-08
147,10,Fuel Pump,67.8,9,10,2026-07-29
148,10,Headlight Bulb,195.63,149,20,2026-06-17
149,10,Cabin Air Filter,92.64,67,10,2026-07-06
150,10,Shock Absorber,92.99,141,15,2026-07-23
151,11,Oil Filter,93.93,68,25,2026-07-11
152,11,Brake Pad Set,28.8,87,10,2026-06-19
153,11,Car Battery,214.8,150,15,2026-06-18
154,11,Spark Plug,37.36,126,20,2026-06-20
155,11,Air Filter,80.27,103,10,2026-08-01
156,11,Wiper Blade,75.69,58,10,2026-07-21
157,11,Coolant (1 Gal),23.83,62,15,2026-08-13
158,11,Tire,40.28,46,20,2026-07-05
159,11,Serpentine Belt,17.51,134,10,2026-06-17
160,11,Alternator,69.99,45,15,2026-08-06
161,11,Radiator Hose,191.73,89,25,2026-08-22
162,11,Fuel Pump,79.96,89,15,2026-08-13
163,11,Headlight Bulb,34.22,71,15,2026-09-01
164,11,Cabin Air Filter,144.89,97,10,2026-06-16
165,11,Shock Absorber,219.28,0,20,2026-06-22
166,12,Oil Filter,57.25,22,15,2026-09-03
167,12,Brake Pad Set,67.27,115,10,2026-07-05
168,12,Car Battery,214.03,14,20,2026-07-21
169,12,Spark Plug,45.9,116,25,2026-08-22
170,12,Air Filter,116.38,101,15,2026-07-15
171,12,Wiper Blade,58.81,133,10,2026-08-25
172,12,Coolant (1 Gal),205.66,47,20,2026-09-03
173,12,Tire,216.08,59,10,2026-07-16
174,12,Serpentine Belt,180.72,89,20,2026-09-03
175,12,Alternator,74.73,117,15,2026-07-06
176,12,Radiator Hose,93.54,60,10,2026-07-23
177,12,Fuel Pump,59.37,87,20,2026-07-22
178,12,Headlight Bulb,196.84,94,20,2026-06-18
179,12,Cabin Air Filter,201.89,74,15,2026-07-25
180,12,Shock Absorber,96.8,114,25,2026-08-09
