order_id,customer_id,vehicle_id,branch_id,employee_id,order_date,status,payment_method,customer_rating
43,1698,3309,1,32,2024-09-08,Completed,Credit Card,1.0
44,1708,1420,5,115,2025-12-22,Completed,Financing,4.0
45,1281,2458,8,135,2024-02-23,Completed,Debit Card,
46,218,2936,6,27,2024-11-01,Completed,Credit Card,4.0
47,2955,596,11,36,2024-01-20,Cancelled,,
48,1438,1125,3,26,2024-12-28,In Progress,Debit Card,
49,2976,1485,6,136,2025-08-14,Cancelled,,
50,1991,2710,12,87,2023-06-12,Completed,Debit Card,
51,2339,2103,2,159,2025-05-16,Cancelled,,
52,2307,1243,5,27,2025-10-24,Completed,Cash,
53,2910,2903,5,150,2025-11-15,Completed,Cash,5.0
54,753,2344,3,75,2024-06-06,Completed,Cash,
55,163,1692,10,91,2025-01-09,Completed,Debit Card,3.0
56,2772,2083,9,130,2023-06-09,In Progress,Debit Card,
57,2326,2720,3,85,2025-07-03,Completed,Insurance,4.0
58,612,1113,6,31,2024-01-04,Completed,Financing,3.0
59,1222,3018,10,121,2024-05-23,Completed,Credit Card,3.0
60,1979,1356,6,80,2024-08-05,Completed,Insurance,3.0
61,110,2948,2,51,2025-06-12,Completed,Cash,4.0
62,194,481,3,57,2024-11-06,Completed,Credit Card,4.0
63,536,1766,8,6,2024-06-23,Completed,Credit Card,2.0
64,470,2011,3,51,2025-09-15,Completed,Cash,1.0
65,18,2841,11,128,2024-02-18,Completed,Credit Card,
66,2863,1159,6,75,2024-11-19,Completed,Financing,3.0
67,2728,1783,3,143,2023-09-09,Completed,Debit Card,
68,220,3254,11,107,2025-09-17,Cancelled,,
69,2879,222,9,78,2024-12-30,Cancelled,,
70,1877,3047,10,107,2023-07-07,Completed,Credit Card,
71,72,326,8,85,2023-07-01,Completed,Financing,
72,1039,650,2,58,2025-07-24,Completed,Insurance,5.0
73,923,2793,4,108,2023-05-21,Cancelled,,
74,362,2359,9,166,2025-11-02,Completed,Credit Card,
75,2634,1523,9,24,2024-02-08,Completed,Debit Card,
76,1242,663,7,157,2024-08-06,Completed,Debit Card,5.0
77,2878,1776,4,48,2025-10-20,Completed,Debit Card,4.0
78,1320,2125,3,158,2023-05-09,Completed,Cash,
79,1580,1843,9,106,2023-07-23,Cancelled,,
80,754,1771,7,70,2024-05-23,Cancelled,,
81,2489,3295,3,77,2023-01-17,Completed,Credit Card,
82,1666,764,12,124,2025-04-08,Completed,Insurance,
83,2102,123,5,50,2025-08-06,Completed,Debit Card,5.0
84,617,3361,7,153,2025-04-12,Completed,Cash,5.0
85,205,1944,8,146,2024-09-11,Completed,Insurance,1.0
86,2072,1254,5,56,2025-02-25,Cancelled,,
87,804,2331,10,84,2024-11-16,Completed,Insurance,2.0
88,1563,803,10,40,2024-07-25,Completed,Financing,5.0
89,423,2316,7,151,2024-07-03,Cancelled,,
90,2389,1714,11,32,2025-11-29,Completed,Financing,
91,282,570,10,167,2023-10-26,Completed,Debit Card,
92,1686,2295,8,14,2023-10-09,Completed,Debit Card,
93,56,2896,9,100,2024-07-06,Completed,Credit Card,
94,614,1695,8,134,2024-09-08,Cancelled,,
95,2029,2031,9,68,2024-05-15,Completed,Cash,3.0
96,559,2768,8,171,2025-03-28,Completed,Cash,4.0
97,1577,2058,7,91,2023-01-05,Completed,Debit Card,4.0
98,1961,2670,7,155,2024-06-18,Completed,Insurance,2.0
99,904,1913,1,66,2025-01-22,Completed,Cash,
100,806,1030,5,75,2023-12-30,Completed,Financing,3.0
101,2622,1868,12,36,2023-07-24,In Progress,Cash,
102,811,340,11,136,2023-07-09,Completed,Credit Card,4.0
103,984,1533,11,82,2023-07-27,Completed,Financing,
104,1230,2226,2,48,2024-06-22,In Progress,Financing,
105,74,2051,8,53,2025-05-16,Completed,Insurance,1.0
106,1763,3193,5,141,2023-09-21,Completed,Insurance,
107,1953,3048,9,126,2023-06-08,Cancelled,,
108,2880,1490,3,136,2023-09-17,Completed,Insurance,3.0
109,1883,2378,7,6,2025-01-11,Completed,Debit Card,2.0
110,2659,1440,10,29,2025-05-29,Completed,Debit Card,
111,2646,2064,4,2,2023-04-02,Completed,Insurance,3.0
112,717,506,4,3,2023-03-24,Completed,Debit Card,2.0
113,1394,446,7,52,2025-07-22,Completed,Credit Card,
114,1853,1831,4,63,2023-11-14,Completed,Debit Card,2.0
115,1222,3277,2,106,2024-01-03,Completed,Credit Card,
116,1806,825,7,92,2023-06-27,In Progress,Credit Card,
117,1741,1715,3,85,2024-05-28,Completed,Insurance,2.0
118,2879,222,11,122,2024-05-10,Completed,Debit Card,3.0
119,2595,462,1,92,2023-01-16,In Progress,Insurance,
120,337,2253,8,1,2023-03-27,Completed,Credit Card,2.0
121,2343,341,12,99,2025-12-06,Completed,Financing,
122,1481,739,4,49,2025-01-17,Cancelled,,
123,1182,941,12,95,2024-04-18,Completed,Cash,3.0
124,220,336,7,15,2024-11-08,Completed,Financing,
125,2955,596,2,38,2025-12-17,Completed,Insurance,4.0
126,2291,3072,9,176,2024-11-15,Completed,Credit Card,2.0
127,505,2953,1,168,2024-09-15,Completed,Cash,5.0
128,2076,2067,1,156,2024-10-09,Completed,Cash,3.0
129,2034,2964,4,52,2024-04-04,In Progress,Credit Card,
130,2129,1294,8,50,2025-01-24,Cancelled,,
131,1070,217,1,68,2024-07-31,Completed,Insurance,
132,88,2650,3,3,2023-07-16,Cancelled,,
133,1004,3059,5,48,2025-06-21,Completed,Financing,
134,1299,2786,4,161,2024-03-10,In Progress,Insurance,
135,1790,380,8,28,2025-02-05,Completed,Financing,1.0
136,2021,1453,10,61,2023-07-13,Completed,Financing,
137,1624,3128,12,176,2023-05-22,In Progress,Cash,
138,875,3381,10,156,2023-06-21,Cancelled,,
139,2507,775,4,55,2023-05-31,Completed,Insurance,
140,1756,2047,1,66,2025-11-29,Completed,Credit Card,3.0
141,528,1454,3,95,2024-11-15,Completed,Insurance,4.0
142,1557,1511,1,4,2024-06-18,Completed,Cash,2.0
143,1904,1844,2,33,2023-11-24,Completed,Insurance,1.0
144,1073,497,9,6,2025-06-12,Completed,Credit Card,2.0
145,2022,1786,1,147,05/20/2023,Completed,Financing,
146,1808,1915,1,35,2023-04-11,In Progress,Insurance,
147,1344,2732,3,172,2025-12-16,Completed,Financing,4.0
148,2029,2031,1,151,2023-06-23,Completed,Insurance,1.0
149,838,431,10,168,2024-11-18,Completed,Financing,3.0
150,2794,1778,1,163,2025-10-02,Completed,Financing,5.0
151,932,2810,2,91,2023-12-09,Completed,Credit Card,3.0
152,486,1644,4,136,2025-07-30,Cancelled,,
153,1052,2498,3,127,2024-12-21,Completed,Insurance,3.0
154,267,3320,12,122,2025-12-11,Completed,Financing,
155,1768,536,12,128,2023-08-20,Completed,Insurance,3.0
156,2418,2045,8,158,2024-05-03,Completed,Cash,3.0
157,2497,886,9,155,2024-04-26,Completed,Insurance,2.0
158,228,1437,3,157,2023-03-15,In Progress,Insurance,
159,81,1042,7,126,2023-09-10,Completed,Credit Card,5.0
160,1095,2357,4,174,2024-03-07,Completed,Credit Card,
161,1587,2274,8,165,2024-03-19,Completed,Debit Card,4.0
162,1062,1532,4,85,2024-04-27,Completed,Debit Card,
163,1192,2451,11,126,2024-07-20,Cancelled,,
164,2198,2066,2,41,2023-08-21,Completed,Financing,
165,2387,3056,6,147,2023-09-08,Completed,Debit Card,
166,1823,906,2,131,2025-06-21,Completed,Credit Card,5.0
167,1938,2667,5,165,2025-06-18,Completed,Cash,
168,2617,1976,12,145,2025-10-10,Cancelled,,
169,2527,1232,4,172,2023-06-01,In Progress,Cash,
170,681,2625,6,129,2024-02-27,Completed,Credit Card,
171,1383,1354,8,151,2024-12-21,Completed,Insurance,
172,1257,2536,5,49,2025-11-21,Completed,Cash,3.0
173,1465,1711,3,148,2024-06-09,Completed,Financing,4.0
174,694,20,9,103,2024-10-07,Completed,Cash,
175,1566,2373,11,28,2024-07-12,Completed,Credit Card,
176,187,598,8,50,2025-08-28,Completed,Financing,
177,2175,6,2,130,2025-12-10,Cancelled,,
178,2652,2623,10,160,2025-05-01,Completed,Debit Card,5.0
179,1802,1006,6,83,2025-07-07,In Progress,Cash,
180,2106,3263,9,84,2023-06-08,Completed,Credit Card,3.0
181,2178,1877,6,24,2025-03-21,Completed,Insurance,
182,895,2815,3,86,2025-02-26,Completed,Cash,2.0
183,1278,14,3,88,2023-09-10,Cancelled,,
184,992,3249,7,64,2023-12-14,Completed,Credit Card,1.0
185,1227,3076,8,59,2024-05-19,Completed,Insurance,5.0
186,1717,1395,5,170,2025-08-25,Cancelled,,
187,2743,208,4,20,2025-12-12,In Progress,Financing,
188,2798,3170,6,87,2023-08-10,Completed,Cash,1.0
189,1772,3032,3,43,2023-01-01,In Progress,Credit Card,
190,2449,1998,6,132,2025-03-28,Completed,Financing,
191,791,1037,11,86,2023-06-25,Completed,Debit Card,
192,1380,808,7,4,2025-03-13,Completed,Cash,5.0
193,725,3278,2,179,2024-11-04,In Progress,Cash,
194,1406,2261,2,26,2025-06-18,Completed,Insurance,5.0
195,2115,244,12,78,2024-11-05,Completed,Debit Card,
196,1739,2396,2,41,2023-07-30,Completed,Financing,
197,445,463,5,22,2023-08-14,Completed,Financing,4.0
198,2941,2365,10,73,2024-01-24,Completed,Insurance,
199,1104,24,2,8,2023-11-29,Cancelled,,
200,1101,1237,1,130,2023-11-08,Completed,Cash,5.0
201,83,2104,9,160,2025-03-11,Completed,Credit Card,2.0
202,555,1898,3,99,2023-09-13,Completed,Cash,1.0
203,2799,1706,5,148,2024-07-13,Cancelled,,
204,2384,1284,4,144,2023-11-03,Cancelled,,
205,1618,390,2,81,2024-01-26,Completed,Debit Card,
206,2829,1650,9,61,2023-12-16,In Progress,Financing,
207,1861,1027,12,38,2023-01-26,Cancelled,,
208,1207,3010,5,101,2025-03-19,Completed,Credit Card,2.0
209,961,42,3,65,2024-10-03,Completed,Financing,1.0
210,1664,3333,8,80,2025-08-28,Completed,Financing,2.0
211,1961,2670,11,110,2025-10-07,Completed,Insurance,
212,2304,2209,12,35,2025-10-19,Completed,Insurance,2.0
213,824,3251,5,56,2023-04-17,Completed,Cash,1.0
214,1630,2818,11,38,2025-10-06,In Progress,Insurance,
215,2489,3295,3,111,2024-12-06,Completed,Credit Card,5.0
216,1115,2428,11,125,2024-02-29,Completed,Insurance,2.0
217,1675,2380,9,57,2024-10-15,Cancelled,,
218,584,424,9,131,2023-12-13,Cancelled,,
219,1056,1562,11,161,2024-01-28,In Progress,Insurance,
220,1777,2250,11,123,2025-05-23,Completed,Credit Card,
221,1581,2666,4,117,2024-12-22,In Progress,Debit Card,
222,2840,324,9,19,2025-01-22,Completed,Insurance,5.0
223,2601,767,11,82,2023-06-15,Completed,Insurance,3.0
224,462,29,8,96,01/07/2023,Completed,Financing,3.0
225,1239,2320,5,89,2025-03-29,Completed,Financing,4.0
226,2772,514,2,3,2024-05-01,Completed,Financing,5.0
227,673,3200,5,72,2024-07-26,Cancelled,,
228,1778,668,6,51,2024-11-12,Completed,Debit Card,3.0
229,2900,2509,2,149,2024-12-19,Completed,Cash,
230,1500,3063,12,106,2023-07-23,Completed,Cash,
231,1178,944,7,92,2024-04-14,Completed,Credit Card,3.0
232,1364,3007,1,61,2024-05-30,Completed,Debit Card,
233,582,1069,3,125,2025-05-09,In Progress,Insurance,
234,2166,162,12,174,2024-02-11,In Progress,Financing,
235,120,459,3,17,2025-11-22,Completed,Financing,5.0
236,2715,3073,4,79,2024-12-24,In Progress,Cash,
237,282,570,2,113,2023-05-25,In Progress,Financing,
238,2724,1734,4,56,2025-10-16,In Progress,Cash,
239,2102,2484,4,27,2024-05-03,In Progress,Financing,
240,2646,2064,7,14,2023-11-28,In Progress,Cash,
241,2338,3201,10,7,2024-06-15,Cancelled,,
242,570,3335,9,5,2023-07-15,Completed,Insurance,
243,505,1525,12,12,2023-07-09,Cancelled,,
244,262,2052,3,65,2024-09-15,Completed,Credit Card,2.0
245,1597,2121,5,163,2025-05-15,Completed,Financing,2.0
246,2658,753,2,147,2024-07-30,Completed,Credit Card,
247,7,526,1,80,2024-07-27,Completed,Cash,
248,788,840,5,12,2024-09-17,Completed,Credit Card,1.0
249,1900,1206,7,162,2023-01-04,Completed,Debit Card,
250,2527,1378,6,117,2024-11-14,In Progress,Debit Card,
251,1857,194,12,38,2025-08-25,Cancelled,,
252,1101,524,11,92,2024-04-20,Completed,Insurance,
253,2845,349,8,20,2025-02-12,Cancelled,,
254,2237,3280,10,117,2025-10-14,Cancelled,,
255,2140,1951,12,17,2025-06-15,In Progress,Insurance,
256,2313,1904,11,55,2023-06-06,Completed,Credit Card,5.0
257,41,915,10,42,2025-07-23,Completed,Financing,1.0
258,1332,1127,6,82,2023-08-28,Completed,Financing,5.0
259,2271,3312,2,58,2025-07-23,Cancelled,,
260,1927,2206,9,149,2023-03-04,Completed,Cash,1.0
261,2135,1016,11,125,2023-08-08,Completed,Financing,
262,559,790,10,139,2023-08-06,Cancelled,,
263,671,977,11,9,2025-03-12,Cancelled,,
264,1260,1143,5,150,2024-01-27,Cancelled,,
265,381,333,11,106,2024-10-09,Completed,Cash,4.0
266,2007,35,3,163,2023-04-22,Cancelled,,
267,1694,1455,4,72,2025-07-28,Completed,Cash,3.0
268,628,2945,6,69,2024-03-24,Cancelled,,
269,2632,3111,1,133,2025-07-10,Cancelled,,
270,1349,2776,7,129,2025-07-22,Completed,Financing,5.0
271,2950,675,11,28,2023-10-05,In Progress,Credit Card,
272,1969,3033,1,174,2025-07-21,Cancelled,,
273,2087,1136,1,18,2024-09-27,Completed,Debit Card,
274,1316,433,12,126,2025-06-27,Completed,Credit Card,3.0
275,156,389,1,105,2024-09-28,Completed,Financing,3.0
276,299,611,7,77,2023-09-16,Cancelled,,
277,1303,2039,1,107,2024-06-13,Completed,Credit Card,1.0
278,2618,2057,8,60,2025-08-12,Cancelled,,
279,811,1337,8,169,2023-04-07,Cancelled,,
280,796,3219,1,79,2025-08-07,Completed,Insurance,5.0
281,1276,2514,8,174,2024-06-09,Completed,Debit Card,1.0
282,582,1069,4,119,2025-11-17,In Progress,Financing,
283,1931,3034,9,147,2023-10-20,Completed,Insurance,
284,1562,2161,2,175,2023-08-04,In Progress,Credit Card,
285,1465,2096,7,64,2024-08-13,Completed,Cash,4.0
286,2665,3341,6,32,2023-07-18,Completed,Cash,4.0
287,67,233,1,118,2024-05-18,Completed,Debit Card,4.0
288,343,3302,11,177,2025-08-18,Completed,Insurance,
289,102,375,11,19,2023-11-14,Completed,Cash,
290,1958,273,2,8,2023-02-25,Completed,Insurance,
291,257,3019,7,9,2024-02-22,Completed,Debit Card,
292,1804,2765,5,109,2024-06-26,Completed,Insurance,2.0
293,2012,3065,6,172,2024-02-14,Completed,Insurance,
294,2899,3410,7,81,2023-08-11,In Progress,Financing,
295,1259,2339,12,37,2024-09-29,Completed,Credit Card,3.0
296,1240,1289,4,82,2025-06-17,Cancelled,,
297,2194,632,7,165,2025-12-21,Completed,Credit Card,3.0
298,704,2507,10,47,2024-09-28,In Progress,Debit Card,
299,1086,799,6,90,2025-01-28,Completed,Debit Card,3.0
300,226,2642,3,87,2025-11-06,Completed,Insurance,
301,1331,2037,12,176,2025-11-07,Completed,Insurance,3.0
302,310,1062,5,72,2023-09-27,Completed,Insurance,4.0
303,791,1037,5,68,2024-07-14,Completed,Debit Card,
304,1706,1750,5,3,2023-04-19,Completed,Financing,2.0
305,1103,1599,5,172,2025-06-08,Completed,Cash,4.0
306,639,1895,10,144,2024-04-11,Cancelled,,
307,1369,2669,5,26,2025-02-16,Completed,Credit Card,3.0
308,1555,100,8,65,2023-11-18,In Progress,Cash,
309,264,2995,4,112,2025-06-10,Completed,Financing,2.0
310,1492,579,11,113,2024-06-01,Completed,Insurance,3.0
311,1748,2738,2,32,2025-09-03,Completed,Credit Card,
312,2634,1523,1,178,2024-04-18,Cancelled,,
313,2752,1218,4,67,2025-11-07,In Progress,Debit Card,
314,2979,1884,9,63,2025-01-02,Completed,Insurance,3.0
315,2110,2335,7,79,2024-06-21,Completed,Cash,3.0
316,1607,1870,12,45,2025-11-04,In Progress,Debit Card,
317,1165,2973,2,74,2025-10-06,Cancelled,,
318,1287,2699,3,136,2025-06-18,Cancelled,,
319,1609,595,11,42,2024-07-27,In Progress,Debit Card,
320,826,1615,11,27,2023-09-22,Completed,Cash,3.0
321,2388,166,5,94,2025-03-08,Completed,Debit Card,2.0
322,2709,2068,2,90,09/09/2023,In Progress,Debit Card,
323,357,2898,3,42,2025-12-25,Cancelled,,
324,2622,3175,11,87,2024-08-20,Cancelled,,
325,1509,696,9,108,2023-10-04,Completed,Cash,
326,1049,2560,4,56,2024-10-13,Cancelled,,
327,2602,939,11,35,2025-07-24,Completed,Financing,5.0
328,2389,1714,12,89,2024-01-19,Completed,Credit Card,
329,2175,6,8,18,2025-06-22,Cancelled,,
330,749,2573,11,179,2024-05-29,In Progress,Financing,
331,872,2730,7,128,2024-12-04,Completed,Cash,1.0
332,1885,108,6,146,2024-01-07,Completed,Credit Card,2.0
333,2125,125,11,160,2025-01-10,Completed,Debit Card,2.0
334,2,432,3,71,2025-09-02,In Progress,Cash,
335,1982,2119,6,41,2023-04-16,In Progress,Insurance,
336,2421,2744,6,106,2023-02-24,Completed,Credit Card,
337,2947,241,8,144,2023-11-05,Completed,Insurance,
338,243,642,2,72,2025-12-05,Completed,Debit Card,3.0
339,357,2336,7,54,2023-03-19,Completed,Cash,5.0
340,1482,2114,12,30,2025-08-09,In Progress,Insurance,
341,845,3235,10,51,03/02/2023,Completed,Financing,1.0
342,220,3254,7,73,2023-01-07,In Progress,Insurance,
343,2527,1378,1,72,2023-12-13,In Progress,Debit Card,
344,720,99,1,140,2025-06-27,Completed,Cash,4.0
345,1228,1330,6,2,2024-11-23,In Progress,Financing,
346,2943,3085,2,76,2024-09-13,Completed,Insurance,
347,2887,1017,7,174,2025-04-24,Completed,Insurance,
348,871,1759,6,32,2023-08-02,Completed,Debit Card,
349,2444,3250,4,83,2024-07-07,Cancelled,,
350,2698,2794,12,38,2024-06-14,In Progress,Insurance,
351,582,1069,11,155,2024-02-01,In Progress,Financing,
352,1388,1174,2,97,2025-05-21,Cancelled,,
353,2401,138,8,179,2025-05-09,Completed,Cash,4.0
354,1809,1109,10,23,2023-06-04,In Progress,Insurance,
355,907,1875,11,75,2023-11-06,In Progress,Financing,
356,2635,1834,10,116,2024-04-28,Completed,Cash,
357,839,1937,1,72,2023-05-29,In Progress,Credit Card,
358,391,1767,12,172,2024-06-28,Completed,Debit Card,3.0
359,415,1012,8,1,2023-01-30,Completed,Insurance,2.0
360,2991,1594,6,115,2023-05-20,Cancelled,,
361,2129,3221,10,179,2024-01-01,In Progress,Debit Card,
362,221,3101,1,41,2024-03-27,Cancelled,,
363,1786,854,6,94,2025-10-13,Completed,Insurance,1.0
364,2331,633,4,88,2023-01-10,Completed,Financing,3.0
365,2590,3227,10,37,2023-08-24,Completed,Debit Card,
366,282,1591,7,139,2023-02-10,Completed,Credit Card,3.0
367,961,2012,9,156,2024-03-11,Completed,Debit Card,
368,1780,1101,2,104,2024-05-18,Cancelled,,
369,2507,775,3,138,2025-11-21,Completed,Financing,4.0
370,2985,2950,8,12,2023-02-26,Cancelled,,
371,1548,102,8,26,2024-07-11,In Progress,Debit Card,
372,649,1014,8,72,2023-03-06,In Progress,Credit Card,
373,483,2989,11,73,2025-09-26,In Progress,Financing,
374,859,1793,2,180,2025-02-20,Completed,Debit Card,3.0
375,438,1958,12,2,2025-09-30,Cancelled,,
376,2599,1045,6,32,2025-10-24,Completed,Cash,4.0
377,789,1260,2,130,2024-07-15,Completed,Debit Card,3.0
378,1394,446,12,45,2025-10-27,Completed,Cash,2.0
379,475,337,11,57,2023-11-26,Completed,Financing,5.0
380,2855,3444,3,7,09/09/2023,Completed,Credit Card,
381,2972,568,11,70,2023-01-14,Completed,Cash,3.0
382,2247,1720,8,171,2025-09-16,Completed,Insurance,4.0
383,2488,1600,1,141,2024-08-30,Completed,Debit Card,1.0
384,2489,1647,11,168,2024-09-27,Completed,Insurance,4.0
385,2570,1526,8,65,2025-06-05,Completed,Insurance,
386,2706,1446,3,88,2023-01-18,Completed,Debit Card,3.0
387,2495,1350,6,94,2024-01-14,Completed,Financing,5.0
388,574,2028,9,129,2023-10-03,Completed,Debit Card,3.0
389,1969,3033,5,111,2023-10-18,Completed,Financing,1.0
390,1436,1697,10,138,2023-12-15,Completed,Debit Card,4.0
391,501,3216,11,98,2024-07-18,Completed,Debit Card,
392,2351,1769,4,23,2023-03-18,Completed,Credit Card,
393,2368,2229,12,62,2024-01-24,In Progress,Credit Card,
394,2840,324,2,131,2023-08-18,Cancelled,,
395,2863,88,7,137,2024-12-25,Completed,Financing,3.0
396,1783,547,12,146,2024-08-15,Completed,Cash,
397,559,790,7,89,2025-07-25,In Progress,Financing,
398,1267,865,6,147,2023-05-30,In Progress,Debit Card,
399,1989,2664,9,23,2025-07-23,Cancelled,,
400,870,1345,6,159,2025-03-24,In Progress,Debit Card,
401,2728,2692,4,138,2024-12-28,Cancelled,,
402,2334,1026,2,37,2025-08-08,Completed,Insurance,1.0
403,1281,2458,10,111,2023-08-16,Cancelled,,
404,1366,1740,10,108,2024-09-19,Completed,Debit Card,4.0
405,333,3284,11,135,2024-08-04,Completed,Credit Card,5.0
406,907,1875,4,156,2025-06-08,Completed,Credit Card,
407,438,17,3,156,2025-10-09,Cancelled,,
408,252,2784,10,174,2024-10-02,In Progress,Credit Card,
409,1694,770,9,33,2025-07-19,Completed,Cash,5.0
410,2609,170,11,98,2024-07-15,In Progress,Cash,
411,2665,3341,12,47,2024-07-08,Completed,Credit Card,4.0
412,929,1672,4,174,2024-04-27,Completed,Financing,
413,2693,773,12,83,2023-09-27,Completed,Financing,
414,1433,1133,1,127,2024-04-26,Completed,Financing,3.0
415,1300,269,11,16,2024-07-14,In Progress,Cash,
416,13,2168,5,89,2024-01-24,Cancelled,,
417,507,1147,6,154,2023-01-30,Cancelled,,
418,2396,1011,3,150,2025-11-21,Completed,Financing,4.0
419,181,101,3,78,2024-06-26,Completed,Debit Card,
420,2077,2539,1,172,2025-08-16,Completed,Debit Card,2.0
421,653,530,8,57,2025-08-30,Completed,Cash,
422,1427,1806,7,114,2023-05-13,Completed,Debit Card,
423,2452,1270,9,25,2023-08-07,Completed,Insurance,1.0
424,2254,1391,11,148,2024-05-20,Completed,Debit Card,2.0
425,1960,1896,12,18,2023-04-15,Cancelled,,
426,1234,2629,2,57,2024-03-01,In Progress,Financing,
427,2743,208,7,139,2023-11-19,Completed,Cash,3.0
428,1395,3328,8,145,2025-08-27,Completed,Debit Card,5.0
429,2664,178,4,177,2025-07-10,In Progress,Debit Card,
430,685,1809,6,93,2024-05-11,Completed,Credit Card,2.0
431,552,346,12,173,2023-07-03,Completed,Debit Card,
432,1296,2893,7,12,10/28/2024,Completed,Cash,2.0
433,2104,1614,5,75,2024-03-17,Completed,Debit Card,5.0
434,2271,3312,7,41,2023-07-10,Completed,Credit Card,4.0
435,1632,2578,3,114,2023-12-05,In Progress,Financing,
436,1597,979,6,13,2023-11-18,Completed,Financing,4.0
437,2678,2234,6,155,2025-09-14,Completed,Debit Card,3.0
438,1664,894,1,12,2023-01-30,Completed,Insurance,
439,2584,576,6,109,2025-11-19,Cancelled,,
440,1393,1950,8,95,2024-11-08,Completed,Credit Card,5.0
441,123,2696,5,62,2025-08-05,Completed,Insurance,2.0
442,2658,753,12,91,2024-08-10,Cancelled,,
443,894,3116,11,136,2025-04-26,In Progress,Credit Card,
444,786,1369,5,86,2025-04-21,Cancelled,,
445,1292,1281,8,18,2024-02-22,Completed,Financing,4.0
446,1522,1622,10,145,2025-03-02,Completed,Financing,4.0
447,394,52,1,115,2024-04-13,Cancelled,,
448,277,629,3,133,2025-03-20,Cancelled,,
449,1784,573,2,48,2023-01-18,Completed,Debit Card,
450,2193,3000,5,151,2024-11-24,Completed,Debit Card,2.0
451,1337,942,8,70,2025-03-23,Completed,Debit Card,3.0
452,2251,877,1,121,2024-01-14,Completed,Credit Card,
453,339,1994,3,37,2024-01-02,Completed,Financing,3.0
454,905,2615,3,172,2024-09-29,In Progress,Debit Card,
455,817,681,10,173,2025-01-26,Completed,Cash,2.0
456,1283,2282,5,111,2023-02-22,Completed,Financing,2.0
457,2742,2472,1,55,2025-08-16,Completed,Cash,4.0
458,497,1876,11,113,2023-02-19,Completed,Cash,
459,536,1766,7,177,2025-02-11,Completed,Insurance,1.0
460,1299,2786,10,105,2024-09-25,Completed,Cash,1.0
461,1645,2169,6,86,2024-11-17,Completed,Insurance,
462,173,1953,3,38,2025-02-11,Completed,Debit Card,
463,455,3009,3,78,2025-09-26,Completed,Insurance,5.0
464,2047,2915,3,175,2025-08-27,In Progress,Debit Card,
465,113,789,11,65,2024-05-08,Completed,Insurance,1.0
466,2460,189,6,77,2023-07-25,In Progress,Insurance,
467,533,357,9,132,2023-04-09,In Progress,Financing,
468,184,3334,9,134,2025-03-01,Cancelled,,
469,1199,1929,10,65,2023-12-13,Completed,Cash,2.0
470,2173,2787,11,110,2025-01-07,Completed,Cash,1.0
471,1182,941,11,144,2024-09-05,Completed,Debit Card,2.0
